interval_start,interval_end,interval_kWh
09/19/2021 23:00,09/20/2021 00:00,0.0
09/19/2021 22:00,09/19/2021 23:00,0.0
09/19/2021 21:00,09/19/2021 22:00,0.0
09/19/2021 20:00,09/19/2021 21:00,0.0
09/19/2021 19:00,09/19/2021 20:00,0.0
09/19/2021 18:00,09/19/2021 19:00,0.0
09/19/2021 17:00,09/19/2021 18:00,0.0
09/19/2021 16:00,09/19/2021 17:00,0.0
09/19/2021 15:00,09/19/2021 16:00,0.0
09/19/2021 14:00,09/19/2021 15:00,0.0
09/19/2021 13:00,09/19/2021 14:00,0.0
09/19/2021 12:00,09/19/2021 13:00,0.0
09/19/2021 11:00,09/19/2021 12:00,0.0
09/19/2021 10:00,09/19/2021 11:00,0.0
09/19/2021 09:00,09/19/2021 10:00,0.0
09/19/2021 08:00,09/19/2021 09:00,0.0
09/19/2021 07:00,09/19/2021 08:00,0.0
09/19/2021 06:00,09/19/2021 07:00,0.0
09/19/2021 05:00,09/19/2021 06:00,0.0
09/19/2021 04:00,09/19/2021 05:00,0.0
09/19/2021 03:00,09/19/2021 04:00,0.0
09/19/2021 02:00,09/19/2021 03:00,0.0
09/19/2021 01:00,09/19/2021 02:00,0.0
09/19/2021 00:00,09/19/2021 01:00,0.0
09/18/2021 23:00,09/19/2021 00:00,0.0
09/18/2021 22:00,09/18/2021 23:00,0.0
09/18/2021 21:00,09/18/2021 22:00,0.0
09/18/2021 20:00,09/18/2021 21:00,0.0
09/18/2021 19:00,09/18/2021 20:00,0.0
09/18/2021 18:00,09/18/2021 19:00,0.0
09/18/2021 17:00,09/18/2021 18:00,0.0
09/18/2021 16:00,09/18/2021 17:00,0.0
09/18/2021 15:00,09/18/2021 16:00,0.0
09/18/2021 14:00,09/18/2021 15:00,0.0
09/18/2021 13:00,09/18/2021 14:00,0.0
09/18/2021 12:00,09/18/2021 13:00,0.0
09/18/2021 11:00,09/18/2021 12:00,0.0
09/18/2021 10:00,09/18/2021 11:00,0.0
09/18/2021 09:00,09/18/2021 10:00,0.0
09/18/2021 08:00,09/18/2021 09:00,0.0
09/18/2021 07:00,09/18/2021 08:00,0.0
09/18/2021 06:00,09/18/2021 07:00,0.0
09/18/2021 05:00,09/18/2021 06:00,0.0
09/18/2021 04:00,09/18/2021 05:00,0.0
09/18/2021 03:00,09/18/2021 04:00,0.0
09/18/2021 02:00,09/18/2021 03:00,0.0
09/18/2021 01:00,09/18/2021 02:00,0.0
09/18/2021 00:00,09/18/2021 01:00,0.0
09/17/2021 23:00,09/18/2021 00:00,0.0
09/17/2021 22:00,09/17/2021 23:00,0.0
09/17/2021 21:00,09/17/2021 22:00,0.0
09/17/2021 20:00,09/17/2021 21:00,0.0
09/17/2021 19:00,09/17/2021 20:00,0.0
09/17/2021 18:00,09/17/2021 19:00,0.0
09/17/2021 17:00,09/17/2021 18:00,0.0
09/17/2021 16:00,09/17/2021 17:00,0.0
09/17/2021 15:00,09/17/2021 16:00,0.0
09/17/2021 14:00,09/17/2021 15:00,0.0
09/17/2021 13:00,09/17/2021 14:00,0.0
09/17/2021 12:00,09/17/2021 13:00,0.0
09/17/2021 11:00,09/17/2021 12:00,0.0
09/17/2021 10:00,09/17/2021 11:00,0.0
09/17/2021 09:00,09/17/2021 10:00,0.0
09/17/2021 08:00,09/17/2021 09:00,0.0
09/17/2021 07:00,09/17/2021 08:00,0.0
09/17/2021 06:00,09/17/2021 07:00,0.0
09/17/2021 05:00,09/17/2021 06:00,0.0
09/17/2021 04:00,09/17/2021 05:00,0.0
09/17/2021 03:00,09/17/2021 04:00,0.0
09/17/2021 02:00,09/17/2021 03:00,0.0
09/17/2021 01:00,09/17/2021 02:00,0.0
09/17/2021 00:00,09/17/2021 01:00,0.0
09/16/2021 23:00,09/17/2021 00:00,0.0
09/16/2021 22:00,09/16/2021 23:00,0.0
09/16/2021 21:00,09/16/2021 22:00,0.0
09/16/2021 20:00,09/16/2021 21:00,0.0
09/16/2021 19:00,09/16/2021 20:00,0.0
09/16/2021 18:00,09/16/2021 19:00,0.0
09/16/2021 17:00,09/16/2021 18:00,0.0
09/16/2021 16:00,09/16/2021 17:00,0.0
09/16/2021 15:00,09/16/2021 16:00,0.0
09/16/2021 14:00,09/16/2021 15:00,0.0
09/16/2021 13:00,09/16/2021 14:00,0.0
09/16/2021 12:00,09/16/2021 13:00,0.0
09/16/2021 11:00,09/16/2021 12:00,0.0
09/16/2021 10:00,09/16/2021 11:00,0.0
09/16/2021 09:00,09/16/2021 10:00,0.0
09/16/2021 08:00,09/16/2021 09:00,0.0
09/16/2021 07:00,09/16/2021 08:00,0.0
